,coef
age_<30,0.0
age_30-39,0.1084537830329179
age_40-49,0.19762174525521148
age_50+,0.30049163036762633
cty_Australia,0.0
cty_Canada,-0.17629908873955444
cty_Czechoslovakia,-0.13484133038931334
cty_England,-0.10782942610610795
cty_Other_Country,-0.12572598215139852
cty_United States,-0.07770035038594525
ind_Actor/Actress,0.0
ind_Athlete,0.007277174584104802
ind_Comedian,0.12870860194839306
ind_Entrepreneur,-0.008858242726188055
ind_Model,0.03592105114225713
ind_Other,0.053063205075768
ind_Singer/Rapper,-0.00014867677598184666
ind_Social Media Personality,0.002869348156657559
ind_TV Personality,0.09114031293692736
pro_Alan Bersten,0.0
pro_Alec Mazo,0.11342816279521632
pro_Allison Holker,-0.17120766929214717
pro_Anna Trebunskaya,0.028522594889125064
pro_Artem Chigvintsev,-0.1896839943236476
pro_Ashly DelGrosso,0.03422446504130365
pro_Brandon Armstrong,-0.049608879673003516
pro_Britt Stewart,0.08432891369059489
pro_Chelsie Hightower,-0.048936466584436206
pro_Cheryl Burke,0.009332096426844991
pro_Corky Ballas,0.0790956370530709
pro_Daniella Karagach,0.16649548203669332
pro_Derek Hough,-0.22566553512993393
pro_Dmitry Chaplin,-0.05910097886068312
pro_Edyta Sliwinska,-0.03483356663520861
pro_Elena Grinenko,0.2840069543101034
pro_Emma Slater,0.017918281095556994
pro_Gleb Savchenko,-0.052151473842735586
pro_Jenna Johnson,-0.058391627068282936
pro_Jonathan Roberts,-0.1482543207491815
pro_Julianne Hough,-0.08469883374463845
pro_Karina Smirnoff,-0.01431956092139022
pro_Keo Motsepe,0.016174846239613943
pro_Koko Iwasaki,0.35310422994194957
pro_Kym Johnson,-0.06764585914343643
pro_Lacey Schwimmer,-0.001720843402100781
pro_Lindsay Arnold,-0.03361972665780886
pro_Louis van Amstel,-0.024612203669494757
pro_Maksim Chmerkoskiy,-0.08371605720374686
pro_Mark Ballas,-0.10071492267030736
pro_Nick Kosovich,-0.12405770478056029
pro_Other_Partner,-0.11597637956150592
pro_Pasha Pashkov,-0.13283112726614693
pro_Peta Murgatroyd,-0.03190093967457256
pro_Rylee Arnold,0.14463712023522124
pro_Sasha Farber,-0.15179087267539243
pro_Sharna Burgess,0.013644545984931889
pro_Tony Dovolani,-0.10474130678570387
pro_Tristan MacManus,-0.11431216666949236
pro_Valentin Chmerkovskiy,-0.14023432789384557
pro_Witney Carson,-0.18279916533934937
