,coef,pvalue
age_30-39,0.128929276134009,7.72715225139109e-14
age_40-49,0.26059511206400204,0.0
age_50+,0.340823155052248,0.0
cty_Canada,-0.1767406664564194,0.014853561128127524
cty_Czechoslovakia,0.05153583593329564,0.7073056178409667
cty_England,-0.025922077275332488,0.7190651768537246
cty_Other_Country,-0.13118317405538377,0.04275797144706739
cty_United States,-0.022511587426260228,0.7046052647804371
ind_Athlete,0.029842258283640847,0.11536239113900737
ind_Comedian,0.12000566668203203,0.006576022225944778
ind_Entrepreneur,0.09043707567714146,0.25577607298637517
ind_Model,0.09341774271111906,0.03226734705155776
ind_Other,0.0780250375057392,0.006807031827452459
ind_Singer/Rapper,-0.026748454698837177,0.19668434764834597
ind_Social Media Personality,0.020349063476464018,0.6380897675656616
ind_TV Personality,0.11759840954146272,4.859894930930864e-09
pro_Alec Mazo,0.0187042165337534,0.836375993529269
pro_Allison Holker,-0.1399259779608742,0.06348475018329247
pro_Anna Trebunskaya,0.030569073615868702,0.6366671766985315
pro_Artem Chigvintsev,-0.191405124986238,0.0004972652850623316
pro_Ashly DelGrosso,0.27912773255077694,0.004673585234838518
pro_Brandon Armstrong,-0.09371222752135183,0.1252642477798065
pro_Britt Stewart,0.04309114530172081,0.5452331644944164
pro_Chelsie Hightower,0.06314377662601611,0.34890660955200525
pro_Cheryl Burke,-0.07120288489402403,0.1555584026921164
pro_Corky Ballas,0.09368043883483655,0.3944076207357594
pro_Daniella Karagach,0.04540257915680739,0.47356448414489316
pro_Derek Hough,-0.31546383101794684,1.1210645745052261e-09
pro_Dmitry Chaplin,-0.14918122970749895,0.1110584744106311
pro_Edyta Sliwinska,0.036962953441224994,0.5679597744875018
pro_Elena Grinenko,0.42572491472475116,0.0024951908811756685
pro_Emma Slater,0.0018861131857762052,0.9714685836385812
pro_Gleb Savchenko,-0.03967741445487149,0.4703300238375263
pro_Jenna Johnson,-0.13909547477791973,0.015174765648215072
pro_Jonathan Roberts,-0.01716485944492992,0.8313304828350239
pro_Julianne Hough,-0.027544308970874027,0.6971504309200744
pro_Karina Smirnoff,-0.02886418645584007,0.5967110117113688
pro_Keo Motsepe,0.0957398720406725,0.15921617931714094
pro_Koko Iwasaki,0.3458861765037431,0.0023731021730761803
pro_Kym Johnson,-0.13271111328535237,0.023426439071517535
pro_Lacey Schwimmer,0.06687587844340069,0.3342088718931149
pro_Lindsay Arnold,-0.020363692355112935,0.716556592981922
pro_Louis van Amstel,0.0225147910399476,0.714378924696724
pro_Maksim Chmerkoskiy,-0.1309375997613107,0.016133712732664396
pro_Mark Ballas,-0.1854022458457869,0.000233019714399596
pro_Nick Kosovich,-0.27615227478592874,0.050206222568165426
pro_Other_Partner,-0.009583373731236957,0.8721610876561163
pro_Pasha Pashkov,-0.10636535675285348,0.11305924604127382
pro_Peta Murgatroyd,0.006449706392146604,0.9041591064405878
pro_Rylee Arnold,0.2364496604925862,0.0031139376094688753
pro_Sasha Farber,-0.13486085639382486,0.008803150723254438
pro_Sharna Burgess,0.003787220009985747,0.9447957771898199
pro_Tony Dovolani,-0.1001896585775294,0.06735808569148038
pro_Tristan MacManus,0.012334488867265752,0.886901070535437
pro_Valentin Chmerkovskiy,-0.19757978066071394,5.909190895847516e-05
pro_Witney Carson,-0.16032826514135362,0.001892194344254694
